bit_index,variance,variance_rank
527,0.013128120543301485,636
1740,0.01312736901403403,637
582,0.013107828834619473,638
1020,0.013101064738589739,639
1256,0.013064236299428666,640
552,0.013034921822451567,641
358,0.01300710897575875,642
1294,0.012989067337649016,643
1533,0.012958244617277254,644
220,0.012914638321761934,645
1590,0.012901104518036596,646
215,0.012892833670049208,647
491,0.012886818417269677,648
1032,0.012859748835542672,649
316,0.012846965440420691,650
987,0.012825157677076794,651
835,0.012823653656439832,652
1328,0.012823653656439832,653
1276,0.012816133481723276,654
1732,0.012807109114693557,655
1414,0.012797332523346203,656
621,0.012788307798657729,657
735,0.012780034983547187,658
1004,0.012771009929812657,659
818,0.012771009929812657,660
854,0.012768753639554618,661
569,0.012768753639554618,662
1861,0.012768001540417547,663
556,0.01272212123861384,664
1212,0.012720616891315217,665
501,0.012713095083290346,666
1370,0.012710838517635064,667
1112,0.012649154901588189,668
1347,0.012627338045366535,669
292,0.01260326310940087,670
1232,0.01257241531357377,671
370,0.012542317971653467,672
1980,0.012528773545463095,673
1017,0.012528021066015547,674
961,0.012522001187516115,675
1854,0.012522001187516115,676
1747,0.012486632860418805,677
412,0.012455777488187072,678
544,0.012406103654950974,679
237,0.012388039155293601,680
624,0.012386533749325062,681
1127,0.012343627674544352,682
1397,0.012336099893618264,683
575,0.012334594323126698,684
1789,0.01229695351098291,685
2032,0.012276626233137675,686
62,0.012256298086181667,687
667,0.012232204342134253,688
33,0.012228439584348728,689
947,0.012210368332094056,690
1530,0.01220057945039967,691
718,0.0121508789429736,692
1642,0.012132051637068217,693
1469,0.012118495515436548,694
16,0.012114729857543156,695
1034,0.012090628941245503,696
1306,0.012065773592683498,697
1964,0.012050709113206359,698
1193,0.01204392994186009,699
570,0.012030371309463956,700
1137,0.012029618040782755,701
817,0.012019072154065374,702
759,0.012015305709322719,703
1241,0.012013799123080288,704
1081,0.011993459742062774,705
631,0.011967092584248312,706
75,0.011909833155740525,707
1969,0.011900791563865148,708
611,0.011889489332601269,709
272,0.011854827484074591,710
1687,0.01182845264851885,711
1841,0.011802829981247537,712
981,0.011802829981247537,713
1047,0.011799815459196969,714
109,0.01179152542520175,715
1149,0.011785496218961975,716
1514,0.011779466936421668,717
754,0.011772683902360841,718
1857,0.011767408142439453,719
1307,0.011722184946799594,720
1723,0.011710124703107222,721
1967,0.011707109594496296,722
1571,0.011640772379047093,723
1480,0.011620417064332028,724
941,0.011596291121459068,725
1730,0.011588751513950139,726
488,0.011552559738370657,727
404,0.011551805713837286,728
589,0.0115322006575089,729
687,0.01152088968148845,730
945,0.011517119296538508,731
1401,0.011515611134213162,732
1998,0.011453772372951396,733
1001,0.011434163287001031,734
307,0.011432654862392597,735
227,0.011430392216538476,736
365,0.01141530763663929,737
333,0.011409273671153679,738
929,0.011406256659798173,739
866,0.011388154191087333,740
1984,0.011375331193603568,741
483,0.011370805347524254,742
1398,0.011367033776339441,743
872,0.011342140659012873,744
1794,0.011323281372453782,745
783,0.011302158086898282,746
1655,0.011293859397561182,747
1534,0.01126443560933869,748
1875,0.0112606631976558,749
1952,0.011256890756168016,750
1578,0.011224446529026948,751
1724,0.011192754690726541,752
526,0.011188981712750623,753
2011,0.011167852485291,754
1818,0.011144458321769026,755
353,0.011126345924451138,756
587,0.011100685519412354,757
1086,0.011096157069577303,758
1798,0.011077288066622027,759
411,0.011011618127959479,760
1822,0.011000294812711973,761
409,0.01099878501707831,762
1387,0.01098746139782086,763
232,0.010985951561652538,764
360,0.010985196641780083,765
178,0.01096858810296052,766
1697,0.01096103857638211,767
811,0.010958773695160769,768
70,0.010941409249330587,769
775,0.01093838928132937,770
1842,0.010917248971217115,771
375,0.010910453673037565,772
1936,0.010908188552184856,773
417,0.010887801981671165,774
124,0.010880251179443193,775
194,0.010877985915526982,776
30,0.010859863417925844,777
51,0.010850046778335459,778
852,0.01084400566921231,779
1845,0.01081379897908854,780
135,0.010789632253579906,781
1199,0.010769995890188467,782
122,0.01076697483967342,783
199,0.010764709039269077,784
685,0.010711837317107334,785
1056,0.010695219283640011,786
1664,0.010693708524712102,787
727,0.010689176219315666,788
519,0.01064913899098228,789
1074,0.010637051622449902,790
1720,0.01061967549548477,791
240,0.01059701003425629,792
665,0.010594743429119747,793
1260,0.010589454642074291,794
623,0.010578876892730594,795
958,0.010565276585936288,796
1413,0.010560743064500085,797
209,0.010560743064500085,798
1784,0.010559987473421366,799
1750,0.010543364168063991,800
785,0.01053580792942294,801
1801,0.010498024947923904,802
1448,0.010494246485847071,803
1272,0.010482155206912301,804
1051,0.010478376619654905,805
1877,0.010451169911561104,806
1360,0.010435298618310504,807
1363,0.010432275455224408,808
949,0.010400531091159192,809
9,0.010389193308615033,810
1710,0.010377855257826805,811
121,0.010357446090432952,812
1271,0.010347619144309433,813
1273,0.010346107288561338,814
521,0.010322672914657697,815
1280,0.010319649041022873,816
1091,0.010299237395053841,817
205,0.010294701355700002,818
1834,0.010281092980124177,819
1925,0.010275800729749774,820
1117,0.010266728164626185,821
732,0.010250850762564045,822
50,0.010245558178374805,823
1181,0.010187335896731776,824
1261,0.010168431038486279,825
1095,0.01011700605433524,826
1821,0.010115493471347678,827
167,0.010091291494992116,828
965,0.010085240810151889,829
1291,0.010026242634334798,830
733,0.010011113728593866,831
110,0.010002036156247703,832
1275,0.009997497305696046,833
1025,0.009963454558513878,834
549,0.00995967188202471,835
1092,0.009947567116970474,836
348,0.009899145004732149,837
465,0.009890821962410395,838
1225,0.009875688788608318,839
313,0.009857528350566414,840
1031,0.009852231426784276,841
1033,0.00982650268031052,842
545,0.009816664854207666,843
778,0.009809853933493685,844
1660,0.009782609284959118,845
1628,0.009737198103877456,846
1959,0.009734170539204277,847
88,0.009731899853181337,848
149,0.009716761672156682,849
1691,0.009704650783984555,850
2041,0.0097023799584747,851
1496,0.009666045291069285,852
1023,0.009653933124863205,853
863,0.009641820653454985,854
1045,0.009636521351242124,855
2016,0.009627436697252604,856
286,0.009619866021119796,857
1774,0.009619866021119796,858
1110,0.00961683771728519,859
195,0.009606995598085075,860
256,0.009587310755241546,861
969,0.009572925168115242,862
1237,0.009560810655667726,863
1814,0.009556267634814982,864
87,0.00953582350985438,865
317,0.009529008608398452,866
172,0.009522950837146087,867
1140,0.009500990776743188,868
1820,0.009488117171737738,869
1450,0.009476757822370632,870
1339,0.009472971312971801,871
1102,0.009469942083993214,872
291,0.009463126249047936,873
1761,0.00945933963235148,874
2013,0.00945176630954388,875
152,0.009439648745074988,876
384,0.009422986595592391,877
1717,0.009403294220455476,878
550,0.009399507132841661,879
708,0.009362392096951153,880
638,0.009358604687444457,881
1258,0.009338152161079692,882
1075,0.00931921386174057,883
726,0.009277546980363628,884
130,0.009275274137658393,885
1804,0.009260879218022966,886
421,0.009224511188208852,887
989,0.009219964991346362,888
791,0.009194960141424626,889
246,0.009163891701142575,890
927,0.009162376116205859,891
1862,0.009151009077175512,892
463,0.009144188725000153,893
609,0.009141915252815507,894
1751,0.009139641769901098,895
938,0.009120695661679152,896
1627,0.00911766421521628,897
921,0.009106296121092606,898
381,0.009105538238613462,899
1158,0.009091138244992492,900
1636,0.009085832875694944,901
471,0.009083559128113058,902
